
Assets.............
Walk-Forward Test: Z1 portfolio 2010..2016
Read Z12.fac
Read Z12_1.par
Read Z12_2.par
Read Z12_3.par
Read Z12_4.par
Read Z12_5.par
Read Z12_6.par
Read Z12_7.par
Read Z12_8.par
Read Z12_9.par
Read Z12_10.par
[4755: Mon 21.01.13 16:00]  4: 04755
[4756: Mon 21.01.13 20:00]  4: 04756
[4757: Tue 22.01.13 00:00]  4: 04757
[4758: Tue 22.01.13 04:00]  4: 04758
[4759: Tue 22.01.13 08:00]  4: 04759
[4760: Tue 22.01.13 12:00]  4: 04760
[4761: Tue 22.01.13 16:00]  4: 04761
[4762: Tue 22.01.13 20:00]  4: 04762
[4763: Wed 23.01.13 00:00]  4: 04763
[4764: Wed 23.01.13 04:00]  4: 04764
[4765: Wed 23.01.13 08:00]  4: 04765
[4766: Wed 23.01.13 12:00]  4: 04766
[4767: Wed 23.01.13 16:00]  4: 04767
[4768: Wed 23.01.13 20:00]  4: 04768
[4769: Thu 24.01.13 00:00]  4: 04769
[4770: Thu 24.01.13 04:00]  4: 04770
[4771: Thu 24.01.13 08:00]  4: 04771
[4772: Thu 24.01.13 12:00]  4: 04772
[4773: Thu 24.01.13 16:00]  4: 04773
[4774: Thu 24.01.13 20:00]  4: 04774
[4775: Fri 25.01.13 00:00]  4: 04775
[4776: Fri 25.01.13 04:00]  4: 04776
[4777: Fri 25.01.13 08:00]  4: 04777
[4778: Fri 25.01.13 12:00]  4: 04778
[4779: Fri 25.01.13 16:00]  4: 04779
[4780: Sun 27.01.13 20:00]  4: 04780
[4781: Mon 28.01.13 00:00]  4: 04781
[4782: Mon 28.01.13 04:00]  4: 04782
[4783: Mon 28.01.13 08:00]  4: 04783
[4784: Mon 28.01.13 12:00]  4: 04784
[4785: Mon 28.01.13 16:00]  4: 04785
[4786: Mon 28.01.13 20:00]  4: 04786
[4787: Tue 29.01.13 00:00]  4: 04787
[4788: Tue 29.01.13 04:00]  4: 04788
[4789: Tue 29.01.13 08:00]  4: 04789
[4790: Tue 29.01.13 12:00]  4: 04790
[4791: Tue 29.01.13 16:00]  4: 04791
[4792: Tue 29.01.13 20:00]  4: 04792
[4793: Wed 30.01.13 00:00]  4: 04793
[4794: Wed 30.01.13 04:00]  4: 04794
[4795: Wed 30.01.13 08:00]  4: 04795
[4796: Wed 30.01.13 12:00]  4: 04796
[4797: Wed 30.01.13 16:00]  4: 04797
[4798: Wed 30.01.13 20:00]  4: 04798
[4799: Thu 31.01.13 00:00]  4: 04799
[4800: Thu 31.01.13 04:00]  4: 04800
[4801: Thu 31.01.13 08:00]  4: 04801
[4802: Thu 31.01.13 12:00]  4: 04802
[4803: Thu 31.01.13 16:00]  4: 04803
[4804: Thu 31.01.13 20:00]  4: 04804
[4805: Fri 01.02.13 00:00]  4: 04805
[4806: Fri 01.02.13 04:00]  4: 04806
[4807: Fri 01.02.13 08:00]  4: 04807
