Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
VO,Long,USD/CAD,693079,6,2014-06-16 16:01,2014-06-17 00:00,1.0851,1.0849,-1.17,0.00,Sold
BB,Short,AUD/USD,688959,5,2014-06-05 20:01,2014-06-17 08:00,0.9338,0.9352,-8.30,-1.78,Sold
BB,Short,AUD/USD,689864,5,2014-06-09 08:01,2014-06-17 08:00,0.9359,0.9352,1.33,-1.53,Sold
BB,Short,AUD/USD,691273,5,2014-06-11 16:01,2014-06-17 08:00,0.9391,0.9352,15.73,-0.76,Sold
CY,Long,EUR/USD,691070,5,2014-06-11 08:01,2014-06-17 16:00,1.3540,1.3543,1.26,0.00,Sold
HU,Long,USD/JPY,676401,4,2014-05-08 00:01,2014-06-19 00:00,101.89,101.92,0.71,0.00,Sold
CY,Short,AUD/USD,686651,5,2014-06-02 00:01,2014-06-19 00:00,0.9299,0.9401,-47.68,-3.06,Sold
CY,Short,AUD/USD,689663,5,2014-06-09 00:01,2014-06-19 00:00,0.9337,0.9401,-29.80,-1.78,Sold
CY,Short,EUR/USD,693681,4,2014-06-17 16:01,2014-06-19 06:13,1.3543,1.3603,-21.04,0.00,Stop
A2,Short,GBP/USD,667863,3,2014-04-17 16:01,2014-06-19 08:23,1.6807,1.7026,-57.25,0.00,Stop
BB,Short,XAG/USD,693882,5,2014-06-18 00:01,2014-06-19 13:00,19.7258,20.17,-97.78,0.00,Stop
ES,Short,EUR/USD,695490,5,2014-06-20 16:01,2014-06-23 16:00,1.3587,1.3594,-3.57,0.00,Sold
HP,Short,USD/CAD,666048,6,2014-04-14 16:01,2014-06-23 16:00,1.0969,1.0731,99.34,0.00,Sold
HP,Short,USD/CAD,666853,6,2014-04-16 00:01,2014-06-23 16:00,1.0985,1.0731,105.86,0.00,Sold
HP,Short,USD/CAD,667661,6,2014-04-17 08:01,2014-06-23 16:00,1.0997,1.0731,111.22,0.00,Sold
CT,Short,GBP/USD,692276,3,2014-06-13 08:01,2014-06-24 00:00,1.6985,1.7025,-10.73,0.00,Sold
HU,Short,USD/JPY,694484,4,2014-06-19 00:01,2014-06-24 16:00,101.93,102.14,-6.71,0.00,Sold
HU,Short,NAS100,691875,13,2014-06-12 16:02,2014-06-24 16:00,3782,3836,-60.45,0.00,Sold
BB,Short,AUD/USD,695992,5,2014-06-23 12:01,2014-06-24 20:00,0.9439,0.9375,27.74,0.00,Sold
CY,Long,USD/CAD,692277,7,2014-06-13 08:01,2014-06-26 06:22,1.0853,1.0708,-71.45,0.00,Stop
CY,Long,EUR/USD,696293,5,2014-06-24 00:01,2014-06-26 16:00,1.3601,1.3611,3.92,0.00,Sold
BB,Short,XAG/USD,697498,5,2014-06-26 00:01,2014-06-30 04:00,21.00,20.93,15.29,0.00,Sold
BB,Short,XAG/USD,697902,5,2014-06-26 20:01,2014-06-30 04:00,21.06,20.93,28.13,0.00,Sold
CY,Short,EUR/USD,697800,4,2014-06-26 16:01,2014-06-30 09:16,1.3610,1.3663,-18.56,0.00,Stop
VO,Short,GBP/USD,696796,3,2014-06-24 20:01,2014-06-30 14:05,1.6985,1.7059,-19.53,0.00,Stop
HP,Short,EUR/USD,692478,6,2014-06-13 16:01,2014-06-30 14:59,1.3524,1.3692,-88.09,0.00,Stop
HU,Long,USD/CAD,684745,4,2014-05-27 20:02,2014-06-30 15:00,1.0861,1.0649,-59.71,0.00,Stop
HU,Short,UK100,690466,4,2014-06-10 08:01,2014-07-01 08:00,6842,6775,35.21,0.00,Sold
HU,Long,USD/JPY,696694,4,2014-06-24 16:01,2014-07-02 12:00,102.14,101.49,-19.71,0.00,Sold
BB,Short,AUD/USD,699507,5,2014-07-01 12:01,2014-07-03 04:00,0.9456,0.9377,33.76,-0.25,Sold
CY,Long,USD/CAD,697801,7,2014-06-26 16:01,2014-07-04 00:00,1.0707,1.0637,-34.77,0.00,Sold
CY,Long,USD/CAD,698903,7,2014-06-30 12:01,2014-07-04 00:00,1.0681,1.0637,-21.71,0.00,Sold
HP,Short,EUR/USD,693480,6,2014-06-17 08:01,2014-07-04 08:00,1.3560,1.3592,-17.41,0.00,Sold
HP,Short,EUR/USD,694986,6,2014-06-19 20:01,2014-07-04 08:00,1.3605,1.3592,6.21,0.00,Sold
BB,Short,XAG/USD,699406,5,2014-07-01 08:02,2014-07-07 08:00,21.04,20.99,10.88,0.00,Sold
BB,Short,XAG/USD,700313,5,2014-07-02 20:02,2014-07-07 08:00,21.13,20.99,30.31,0.00,Sold
BB,Short,XAG/USD,701120,5,2014-07-04 04:01,2014-07-07 08:00,21.10,20.99,24.51,0.00,Sold
HU,Short,XAG/USD,697799,5,2014-06-26 12:01,2014-07-08 12:00,20.80,21.17,-81.57,0.00,Sold
VO,Short,AUD/USD,700616,5,2014-07-03 08:01,2014-07-08 13:03,0.9371,0.9409,-17.85,-0.76,Stop
HU,Long,UK100,699405,4,2014-07-01 08:01,2014-07-08 15:43,6773,6730,-22.74,0.00,Stop
CT,Long,USD/CAD,695891,4,2014-06-23 08:01,2014-07-08 16:00,1.0725,1.0674,-14.65,0.00,Sold
VO,Long,USD/JPY,700312,4,2014-07-02 20:02,2014-07-08 20:00,101.80,101.54,-7.96,0.00,Sold
VO,Long,USD/JPY,700415,4,2014-07-03 00:01,2014-07-08 20:00,101.85,101.54,-9.36,0.00,Sold
LP,Long,USD/CAD,702222,5,2014-07-08 00:01,2014-07-09 14:42,1.0683,1.0658,-8.89,0.00,Stop
HU,Long,USD/CAD,700311,4,2014-07-02 20:01,2014-07-09 16:00,1.0666,1.0648,-5.37,0.00,Sold
BB,Short,XAG/USD,703228,5,2014-07-09 16:01,2014-07-10 09:21,20.99,21.51,-112.36,0.00,Stop
A2,Short,XAU/USD,695088,3,2014-06-20 00:01,2014-07-10 09:33,1314,1343,-74.32,0.00,Stop
HP,Long,EUR/USD,701221,6,2014-07-04 08:01,2014-07-10 12:00,1.3591,1.3606,7.78,0.00,Sold
LP,Long,GBP/USD,691274,4,2014-06-11 16:01,2014-07-10 16:00,1.6795,1.7121,113.60,0.00,Sold
